first_name,second_name,web_name,element_type,assists,bonus,bps,clean_sheets,creativity,creativity_rank,creativity_rank_type,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,influence,influence_rank,influence_rank_type,minutes,own_goals,penalties_missed,penalties_saved,total_points,points_per_game,threat,threat_rank,threat_rank_type,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,yellow_cards,red_cards,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall
Rui Pedro,dos Santos Patrício,Patrício,1,0,8,680,13,0.0,656,71,40,0,74.3,217,12,411,741.0,43,11,3420,0,0,2,153,4.0,0.0,654,69,1224396,0,957926,0,0.7,28.9,0,0,53,0,0,3,-3
James,Tarkowski,Tarkowski,2,3,14,690,15,167.1,223,57,50,2,149.9,68,8,84,919.8,14,3,3420,0,0,0,143,3.8,410.0,95,10,1034779,0,479402,0,0.9,26.0,10,0,55,0,0,5,-5
George,Baldock,Baldock,2,4,7,602,13,485.7,58,11,39,2,128.6,98,17,294,559.8,93,36,3420,0,0,0,142,3.7,241.0,167,27,1751132,0,957343,0,0.5,28.4,7,0,50,0,0,5,-5
James,Ward-Prowse,Ward-Prowse,3,4,8,587,9,989.9,9,7,60,5,240.7,21,13,321,864.6,20,5,3420,0,2,0,117,3.1,548.0,65,33,387859,0,344153,0,0.5,20.5,9,0,57,0,0,-3,3
Conor,Coady,Coady,2,0,7,648,13,68.8,314,101,40,0,62.4,259,83,403,556.4,97,38,3420,0,0,0,118,3.1,0.0,646,222,262147,0,198272,0,0.6,23.1,5,0,51,0,0,1,-1
Martin,Dubravka,Dubravka,1,0,7,719,11,0.0,649,69,58,0,102.0,149,2,262,1019.0,6,2,3420,0,0,0,143,3.8,0.0,645,66,268705,0,219478,0,0.5,28.0,0,0,51,0,0,1,-1
Virgil,van Dijk,van Dijk,2,2,14,804,15,152.4,236,62,33,5,154.8,61,6,183,930.2,12,2,3420,0,0,0,178,4.7,467.0,80,4,2145436,0,2817026,0,0.5,27.4,1,0,65,0,0,0,0
Harry,Maguire,Maguire,2,0,5,681,13,214.6,189,43,36,1,136.2,85,12,160,772.0,34,8,3420,0,0,0,123,3.2,371.0,104,13,855993,0,1321827,0,0.7,23.2,6,0,53,0,0,-2,2
Declan,Rice,Rice,3,5,8,616,7,350.8,115,73,62,1,132.5,92,52,395,715.8,49,13,3420,0,0,0,105,2.8,259.0,158,92,161366,0,216955,0,1.0,22.3,6,0,47,0,0,-3,3
Jordan,Pickford,Pickford,1,0,5,626,9,13.0,416,5,56,0,76.7,208,10,148,755.6,38,10,3420,0,0,0,117,3.1,0.0,651,67,534082,0,779362,0,0.5,22.5,2,0,52,0,0,-3,3
Nick,Pope,Pope,1,0,23,789,15,30.3,376,1,50,0,93.1,168,6,93,900.0,18,6,3420,0,0,1,170,4.5,2.0,447,3,2393185,0,1209353,0,0.9,32.7,1,0,52,0,0,7,-7
Kasper,Schmeichel,Schmeichel,1,0,10,707,13,30.0,378,2,41,0,89.6,181,7,168,863.4,21,7,3420,0,0,2,156,4.1,2.0,449,4,1438211,0,1051107,0,0.5,28.4,2,0,55,0,0,5,-5
David,de Gea,de Gea,1,0,8,630,13,0.0,657,72,36,0,69.2,236,13,235,695.0,55,13,3420,0,0,0,143,3.8,0.0,655,70,1055461,0,1282006,0,0.9,27.0,2,0,53,0,0,-2,2
Mathew,Ryan,Ryan,1,0,14,754,9,0.0,632,64,54,0,100.1,150,3,47,1000.0,10,3,3420,0,0,0,135,3.6,0.0,625,61,1231541,0,1282927,0,0.7,28.7,0,0,47,0,0,2,-2
Ben,Foster,Foster,1,0,17,686,9,10.1,426,6,64,0,93.5,167,5,366,904.6,17,5,3420,0,0,1,137,3.6,17.0,404,2,482603,0,435821,0,0.6,28.0,1,0,49,0,0,-1,1
Jonny,Evans,Evans,2,2,12,707,13,131.9,248,68,41,1,121.4,109,22,162,755.2,39,11,3384,1,0,0,128,3.4,325.0,125,18,908390,0,609507,0,0.3,24.2,7,1,53,0,0,3,-3
Enda,Stevens,Stevens,2,4,8,639,13,554.5,42,6,39,2,153.5,63,7,291,641.0,67,25,3345,0,0,0,142,3.7,338.0,119,16,755278,0,467406,0,0.7,27.3,7,0,52,0,0,2,-2
